"","day","nitrate","pCO2_atmos","temp","wind","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"1",1,12,397,6.85177307320595,11.3,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"2",2,12,396.998957168286,6.7640797930048,11.2996945992837,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"3",3,12,396.995828983858,6.6773506614368,11.2987784881297,0,396.999995386206,1996.99356504157,0,0,-0.244027933984785,1996.99356504157,12
"4",4,12,396.990616378763,6.59161151961306,11.2972519394949,0,396.999976958292,1996.99355529487,0,0,-0.974670050177748,1996.99355529487,12
"5",5,12,396.983320906109,6.50688791367538,11.2951154082176,0,396.999935573162,1996.99353340587,0,0,-2.18889939257067,1996.99353340587,12
"6",6,12,396.973944739594,6.42320508718465,11.2923695308812,0,396.999862152988,1996.99349457323,0,0,-3.88326447396152,1996.99349457323,12
"7",7,12,396.962490672866,6.34058797359956,11.2890151256251,0,396.999747693119,1996.99343403427,0,0,-6.05389568494408,1996.99343403427,12
"8",8,12,396.948962118686,6.2590611888476,11.2850531919010,0,396.999583269869,1996.99334706915,0,0,-8.69651223673275,1996.99334706915,12
"9",9,12,396.933363107913,6.17864902399066,11.2804849101745,0,396.999360048159,1996.99322900485,0,0,-11.8064296178170,1996.99322900485,12
"10",10,12,396.915698288301,6.09937543798753,11.2753116415739,0,396.999069289017,1996.99307521918,0,0,-15.3785675491579,1996.99307521918,12
"11",11,12,396.895972923118,6.02126405055523,11.2695349274846,0,396.998702356918,1996.99288114459,0,0,-19.4074584188581,1996.99288114459,12
"12",12,12,396.874192889574,5.94433813513147,11.2631564890895,0,396.99825072696,1996.99264227203,0,0,-23.8872561773541,1996.99264227203,12
"13",13,12,396.850364677072,5.86862061194034,11.2561782268567,0,396.997705991862,1996.99235415457,0,0,-28.8117456732543,1996.99235415457,12
"14",14,12,396.824495385273,5.7941340411631,11.2486022199727,0,396.997059868776,1996.99201241105,0,0,-34.1743524086378,1996.99201241105,12
"15",15,12,396.796592721982,5.72090061621642,11.2404307257234,0,396.996304205928,1996.99161272952,0,0,-39.9681526954833,1996.99161272952,12
"16",16,12,396.766665000853,5.64894215713974,11.2316661788211,0,396.995430989027,1996.99115087068,0,0,-46.185884191687,1996.99115087068,12
"17",17,12,396.734721138905,5.57828010409398,11.2223111906794,0,396.994432347504,1996.99062267111,0,0,-52.8199567899608,1996.99062267111,12
"18",18,12,396.700770653875,5.5089355109734,11.2123685486349,0,396.993300560524,1996.99002404647,0,0,-59.8624638478124,1996.99002404647,12
"19",19,12,396.664823661375,5.44092903913253,11.2018412151170,0,396.99202806277,1996.98935099454,0,0,-67.3051937276001,1996.98935099454,12
"20",20,12,396.62689087188,5.37428095123012,11.1907323267648,0,396.990607450031,1996.98859959812,0,0,-75.139641626567,1996.98859959812,12
"21",21,12,396.586983587537,5.30901110519182,11.1790451934929,0,396.989031484536,1996.98776602790,0,0,-83.3570216792036,1996.98776602790,12
"22",22,12,396.545113698798,5.24513894829346,11.1667832975051,0,396.987293100069,1996.98684654511,0,0,-91.9482793016323,1996.98684654511,12
"23",23,12,396.501293680877,5.18268351136671,11.1539502922569,0,396.985385406845,1996.98583750407,0,0,-100.904103761985,1996.98583750407,12
"24",24,12,396.455536590033,5.1216634031288,11.1405500013667,0,396.983301696139,1996.98473535466,0,0,-110.214940951517,1996.98473535466,12
"25",25,12,396.407856059678,5.06209680463806,11.126586417477,0,396.981035444676,1996.9835366446,0,0,-119.871006331380,1996.9835366446,12
"26",26,12,396.358266296317,5.00400146387676,11.1120637010643,0,396.978580318771,1996.98223802162,0,0,-129.86229803947,1996.98223802162,12
"27",27,12,396.306782075317,4.94739469046313,11.0969861792000,0,396.975930178215,1996.98083623552,0,0,-140.178610126436,1996.98083623552,12
"28",28,12,396.253418736499,4.89229335049389,11.0813583442604,0,396.973079079917,1996.97932814006,0,0,-150.809545906151,1996.97932814006,12
"29",29,12,396.198192179572,4.838713861519,11.0651848525891,0,396.970021281277,1996.97771069474,0,0,-161.744531394995,1996.97771069474,12
"30",30,12,396.141118859396,4.78667218764996,11.0484705231089,0,396.966751243318,1996.97598096646,0,0,-172.972828817335,1996.97598096646,12
"31",31,12,396.082215781075,4.73618383480335,11.0312203358863,0,396.963263633548,1996.97413613096,0,0,-184.483550159950,1996.97413613096,12
"32",32,12,396.021500494894,4.68726384608074,11.0134394306477,0,396.959553328571,1996.97217347425,0,0,-196.265670749848,1996.97217347425,12
"33",33,12,395.958991091090,4.63992679728662,10.9951331052479,0,396.955615416437,1996.97009039382,0,0,-208.308042838726,1996.97009039382,12
"34",34,12,395.89470619446,4.59418679258549,10.9763068140918,0,396.951445198738,1996.96788439973,0,0,-220.599409170418,1996.96788439973,12
"35",35,12,395.828664958810,4.55005746029947,10.9569661665088,0,396.947038192443,1996.96555311556,0,0,-233.128416515687,1996.96555311556,12
"36",36,12,395.760887061256,4.5075519488478,10.937116925082,0,396.942390131469,1996.96309427927,0,0,-245.883629150320,1996.96309427927,12
"37",37,12,395.69139269635,4.46668292282914,10.916765003931,0,396.937496968014,1996.96050574385,0,0,-258.853542259958,1996.96050574385,12
"38",38,12,395.620202570072,4.42746255924819,10.8959164669497,0,396.932354873623,1996.95778547790,0,0,-272.026595256585,1996.95778547790,12
"39",39,12,395.547337893658,4.38990254388751,10.8745775259997,0,396.926960240004,1996.95493156605,0,0,-285.391184982565,1996.95493156605,12
"40",40,12,395.472820377276,4.35401406782574,10.8527545390595,0,396.921309679599,1996.95194220926,0,0,-298.935678788598,1996.95194220926,12
"41",41,12,395.396672223565,4.31980782410316,10.8304540083297,0,396.915400025901,1996.94881572498,0,0,-312.648427471189,1996.94881572498,12
"42",42,12,395.318916121012,4.28729400453572,10.8076825782964,0,396.909228333539,1996.94555054720,0,0,-326.517778046627,1996.94555054720,12
"43",43,12,395.239575237198,4.25648229667831,10.7844470337508,0,396.902791878107,1996.94214522634,0,0,-340.53208635568,1996.94214522634,12
"44",44,12,395.15867321189,4.2273818809384,10.7607542977679,0,396.89608815577,1996.93859842904,0,0,-354.679729473694,1996.93859842904,12
"45",45,12,395.076234150004,4.20000142784068,10.7366114296439,0,396.889114882629,1996.93490893787,0,0,-368.949117920665,1996.93490893787,12
"46",46,12,394.992282614414,4.17434909544369,10.7120256227927,0,396.881869993855,1996.93107565079,0,0,-383.328707652902,1996.93107565079,12
"47",47,12,394.906843618643,4.15043252690906,10.6870042026026,0,396.874351642606,1996.92709758067,0,0,-397.807011822975,1996.92709758067,12
"48",48,12,394.819942619403,4.12825884822427,10.6615546242537,0,396.866558198716,1996.92297385455,0,0,-412.372612299553,1996.92297385455,12
"49",49,12,394.731605509013,4.10783466607942,10.6356844704967,0,396.858488247178,1996.91870371284,0,0,-427.01417093162,1996.91870371284,12
"50",50,12,394.641858607686,4.08916606589876,10.6094014493936,0,396.850140586400,1996.91428650843,0,0,-441.720440547259,1996.91428650843,12
"51",51,12,394.550728655681,4.07225861002752,10.5827133920209,0,396.84151422628,1996.90972170568,0,0,-456.480275676309,1996.90972170568,12
"52",52,12,394.458242805344,4.05711733607462,10.5556282501365,0,396.832608386054,1996.90500887925,0,0,-471.282642989835,1996.90500887925,12
"53",53,12,394.364428613011,4.04374675541168,10.5281540938104,0,396.823422491973,1996.90014771293,0,0,-486.116631440773,1996.90014771293,12
"54",54,12,394.269314030801,4.03215085182884,10.5002991090201,0,396.813956174779,1996.89513799831,0,0,-500.971462104522,1996.89513799831,12
"55",55,12,394.172927398285,4.02233308034784,10.4720715952119,0,396.804209267005,1996.88997963333,0,0,-515.836497707884,1996.88997963333,12
"56",56,12,394.075297434045,4.01429636619251,10.4434799628276,0,396.79418180009,1996.88467262082,0,0,-530.701251838439,1996.88467262082,12
"57",57,12,393.976453227118,4.00804310391726,10.4145327307989,0,396.783874001339,1996.87921706684,0,0,-545.555397828490,1996.87921706684,12
"58",58,12,393.876424228324,4.00357515669358,10.3852385240091,0,396.773286290697,1996.87361317906,0,0,-560.388777310050,1996.87361317906,12
"59",59,12,393.775240241494,4.0008938557549,10.3556060707234,0,396.762419277393,1996.86786126498,0,0,-575.191408429143,1996.86786126498,12
"60",60,12,393.672931414593,4,10.3256441999880,0,396.751273756411,1996.86196173004,0,0,-589.953493722781,1996.86196173004,12
"61",61,12,393.569528230731,4,10.2953618389998,0,396.739850704826,1996.85591507577,0,0,-604.665427646351,1996.85591507577,12
"62",62,12,393.465061499085,4.00089385575490,10.2647680104463,0,396.728151304541,1996.84972191177,0,0,-619.316399229483,1996.84972191177,12
"63",63,12,393.359562345719,4.00357515669358,10.2338718298176,0,396.716176913554,1996.84338294062,0,0,-633.897115351557,1996.84338294062,12
"64",64,12,393.253062204306,4.00804310391726,10.2026825026897,0,396.703929034089,1996.83689894093,0,0,-648.399968674997,1996.83689894093,12
"65",65,12,393.14559280677,4.01429636619251,10.1712093219827,0,396.691409334405,1996.83027077899,0,0,-662.816194353047,1996.83027077899,12
"66",66,12,393.037186173823,4.02233308034784,10.139461665191,0,396.678619644509,1996.82349940647,0,0,-677.137252168284,1996.82349940647,12
"67",67,12,392.927874605429,4.03215085182884,10.1074489915899,0,396.665561951769,1996.81658585815,0,0,-691.354831906504,1996.81658585815,12
"68",68,12,392.81769067118,4.04374675541168,10.0751808394169,0,396.652238396424,1996.80953124957,0,0,-705.460858369083,1996.80953124957,12
"69",69,12,392.70666720059,4.05711733607462,10.0426668230299,0,396.638651267008,1996.80233677461,0,0,-719.447496020692,1996.80233677461,12
"70",70,12,392.594837273315,4.07225861002752,10.0099166300424,0,396.624802995689,1996.79500370307,0,0,-733.307153274309,1996.79500370307,12
"71",71,12,392.482234209298,4.08916606589876,9.9769400184372,0,396.610696153547,1996.78753337821,0,0,-747.032486414934,1996.78753337821,12
"72",72,12,392.368891558836,4.10783466607942,9.94374681365903,0,396.596333445761,1996.77992721418,0,0,-760.61640316341,1996.77992721418,12
"73",73,12,392.254843092589,4.12825884822427,9.9103469056869,0,396.581717706766,1996.77218669352,0,0,-774.052065878364,1996.77218669352,12
"74",74,12,392.140122791518,4.15043252690906,9.8767502460875,0,396.56685189532,1996.76431336457,0,0,-787.332894405444,1996.76431336457,12
"75",75,12,392.024764836756,4.17434909544369,9.84296684504996,0,396.551739089556,1996.75630883889,0,0,-800.452568567251,1996.75630883889,12
"76",76,12,391.908803599426,4.20000142784068,9.80900676840346,0,396.536382481981,1996.74817478859,0,0,-813.405030305438,1996.74817478859,12
"77",77,12,391.792273630403,4.2273818809384,9.77488013461797,0,396.520785374431,1996.73991294373,0,0,-826.184485472794,1996.73991294373,12
"78",78,12,391.675209650013,4.25648229667831,9.7405971117895,0,396.504951173024,1996.73152508968,0,0,-838.785405279606,1996.73152508968,12
"79",79,12,391.557646537694,4.28729400453572,9.70616791461044,0,396.488883383068,1996.72301306440,0,0,-851.202527401317,1996.72301306440,12
"80",80,12,391.439619321602,4.31980782410316,9.67160280132617,0,396.472585603967,1996.71437875584,0,0,-863.430856746986,1996.71437875584,12
"81",81,12,391.32116316817,4.35401406782574,9.63691207067848,0,396.456061524124,1996.70562409918,0,0,-875.465665897437,1996.70562409918,12
"82",82,12,391.202313371639,4.38990254388751,9.60210605883712,0,396.439314915831,1996.69675107423,0,0,-887.302495216327,1996.69675107423,12
"83",83,12,391.083105343532,4.42746255924819,9.56719513632008,0,396.422349630179,1996.6877617027,0,0,-898.937152637338,1996.6877617027,12
"84",84,12,390.96357460211,4.46668292282914,9.5321897049037,0,396.405169591954,1996.67865804557,0,0,-910.365713138754,1996.67865804557,12
"85",85,12,390.843756761787,4.5075519488478,9.4971001945234,0,396.387778794589,1996.66944220039,0,0,-921.584517901806,1996.66944220039,12
"86",86,12,390.723687522519,4.55005746029948,9.46193706016616,0,396.370181295097,1996.66011629866,0,0,-932.590173171447,1996.66011629866,12
"87",87,12,390.603402659164,4.59418679258549,9.42671077875527,0,396.352381209064,1996.65068250317,0,0,-943.379548812455,1996.65068250317,12
"88",88,12,390.48293801083,4.63992679728662,9.39143184602887,0,396.334382705661,1996.64114300540,0,0,-953.949776578653,1996.64114300540,12
"89",89,11.2,390.362329470189,4.68726384608074,9.35611077341263,-0.8,396.243429732454,1996.592928093,0,0,-964.298248094773,1996.64114300540,12
"90",90,10.4,390.241612972788,4.73618383480335,9.3207580848879,-0.799999999999999,386.352491089781,1991.26480236809,0,0,-962.51449811475,1997.96114300540,12.2
"91",91,9.6,390.120824486338,4.78667218764996,9.28538431385605,-0.8,376.911180310117,1986.01640755789,0,0,632.103796039941,1999.28114300540,12.4
"92",92,8.8,390,4.83871386151900,9.25,-0.799999999999999,367.885860612247,1980.84301182882,0,0,2132.08541850581,2000.60114300540,12.6
"93",93,8,389.879175513662,4.89229335049389,9.21461568614395,-0.8,359.246280383564,1975.74023456065,0,0,3544.45463651674,2001.92114300540,12.8
"94",94,7.2,389.758387027212,4.94739469046313,9.1792419151121,-0.8,350.965153372031,1970.70401192461,0,0,4875.54727929168,2003.24114300540,13
"95",95,6.4,389.637670529811,5.00400146387676,9.14388922658737,-0.8,343.017800331961,1965.73056671715,0,0,6131.09585075962,2004.5611430054,13.2
"96",96,5.6,389.51706198917,5.06209680463806,9.10856815397113,-0.8,335.381841824441,1960.81638182673,0,0,7316.30219164288,2005.8811430054,13.4
"97",97,4.8,389.396597340836,5.12166340312881,9.07328922124473,-0.8,328.036933805663,1955.95817681552,0,0,8435.8997757523,2007.2011430054,13.6
"98",98,4,389.276312477481,5.1826835113667,9.03806293983384,-0.8,320.964539169595,1951.15288718224,0,0,9494.20733439316,2008.52114300540,13.8
"99",99,3.2,389.156243238213,5.24513894829346,9.00289980547659,-0.8,314.147729635019,1946.39764594187,0,0,10495.1751925772,2009.84114300540,14
"100",100,2.4,389.03642539789,5.30901110519182,8.9678102950963,-0.8,307.571013349,1941.68976721452,0,0,11442.4254531407,2011.1611430054,14.2
"101",101,1.6,388.916894656468,5.37428095123012,8.93280486367992,-0.8,301.220184371176,1937.02673156283,0,0,12339.2869661427,2012.4811430054,14.4
"102",102,0.8,388.797686628361,5.44092903913253,8.89789394116288,-0.8,295.082190845901,1932.40617285586,0,0,13188.8258605515,2013.8011430054,14.6
"103",103,0,388.678836831830,5.5089355109734,8.86308792932152,-0.8,289.145019192934,1927.82586647012,0,0,13993.8722851615,2015.1211430054,14.8
"104",104,0,388.560380678398,5.57828010409398,8.82839719867383,0,283.397592076144,1923.2837186651,0,0,14757.0438996654,2016.4411430054,15
"105",105,0,388.442353462306,5.64894215713974,8.79383208538956,0,284.367341330998,1924.0577569936,0,0,15480.7665700090,2016.4411430054,15
"106",106,0,388.324790349987,5.72090061621642,8.7594028882105,0,285.324086350727,1924.81834395875,0,0,15211.7393030670,2016.4411430054,15
"107",107,0,388.207726369597,5.7941340411631,8.72511986538203,0,286.267963457876,1925.56573165469,0,0,14947.7539186531,2016.4411430054,15
"108",108,0,388.091196400574,5.86862061194034,8.69099323159654,0,287.199111953506,1926.30016935740,0,0,14688.7540541891,2016.4411430054,15
"109",109,0,387.975235163244,5.94433813513147,8.65703315495004,0,288.117673902151,1927.02190347748,0,0,14434.6824017248,2016.4411430054,15
"110",110,0,387.859877208482,6.02126405055523,8.6232497539125,0,289.023793922277,1927.7311775176,0,0,14185.4808023441,2016.4411430054,15
"111",111,0,387.745156907411,6.09937543798753,8.5896530943131,0,289.917618982348,1928.42823203445,0,0,13941.0903371003,2016.4411430054,15
"112",112,0,387.631108441164,6.17864902399066,8.55625318634098,0,290.799298202587,1929.11330460518,0,0,13701.4514145063,2016.4411430054,15
"113",113,0,387.517765790702,6.2590611888476,8.5230599815628,0,291.668982662515,1929.78662979791,0,0,13466.5038546097,2016.4411430054,15
"114",114,0,387.405162726685,6.34058797359956,8.49008336995761,0,292.526825214296,1930.44843914639,0,0,13236.1869696877,2016.4411430054,15
"115",115,0,387.29333279941,6.42320508718465,8.45733317697009,0,293.37298030197,1931.09896112848,0,0,13010.4396416067,2016.4411430054,15
"116",116,0,387.18230932882,6.50688791367538,8.42481916058307,0,294.207603786535,1931.73842114827,0,0,12789.2003958913,2016.4411430054,15
"117",117,0,387.072125394571,6.59161151961306,8.39255100841009,0,295.03085277693,1932.36704152190,0,0,12572.4074725616,2016.4411430054,15
"118",118,0,386.962813826177,6.6773506614368,8.360538334809,0,295.842885466903,1932.98504146659,0,0,12359.9988937903,2016.4411430054,15
"119",119,0,386.85440719323,6.7640797930048,8.32879067801732,0,296.64386097772,1933.59263709301,0,0,12151.9125284440,2016.4411430054,15
"120",120,0,386.746937795694,6.85177307320595,8.29731749731027,0,297.433939206707,1934.19004140069,0,0,11948.0861535732,2016.4411430054,15
"121",121,0,386.640437654281,6.94040437365918,8.26612817018244,0,298.213280681569,1934.77746427633,0,0,11748.4575129187,2016.4411430054,15
"122",122,0,386.534938500915,7.02994728649851,8.23523198955366,0,298.982046420439,1935.35511249496,0,0,11552.9643725030,2016.4411430054,15
"123",123,0,386.430471769269,7.12037513224128,8.20463816100022,0,299.740397797575,1935.92318972363,0,0,11361.5445733816,2016.4411430054,15
"124",124,0,386.327068585407,7.21166096773739,8.17435580001204,0,300.488496414659,1936.48189652771,0,0,11174.1360816253,2016.4411430054,15
"125",125,0,386.224759758506,7.30377759419703,8.14439392927664,0,301.226503977597,1937.03143037949,0,0,10990.6770356107,2016.4411430054,15
"126",126,0,386.123575771676,7.39669756529465,8.1147614759909,0,301.954582178737,1937.57198566903,0,0,10811.1057906947,2016.4411430054,15
"127",127,0,386.023546772882,7.49039319534661,8.08546726920113,0,302.67289258442,1938.10375371709,0,0,10635.360961349,2016.4411430054,15
"128",128,0,385.924702565955,7.5848365675602,8.05652003717242,0,303.381596527746,1938.62692279013,0,0,10463.3814608330,2016.4411430054,15
